,bracketed_text,start_time,end_time,content_reference
1,"[C: two hand canoe paddle hold, paddling motion to left side]",2.48,4.52,[Mouse paddles around in his boat.]
2,"[C: one long row motion, hold hands there while jolting back]",5.44,9.52,"[He rows forward, | but a big wave sets him back.]"
3,"[C: one long row motion, hold hands there while jolting back]",10.4,11.68,"[He rose again, but the waves | toss him back again.]"
4,[emphasis: shakes hands in paddling position],16.0,18.42,[Mouse thinks the paddle doesn't work very well.]
5,[C/em?: crosses arms on chest and eyes glance up],19.58,22.84,"[There's got to be a better way, he says.]"
6,[C: right finger wave for idea hitting],24.48,27.2,[Mouse pokes a hole in the bottom of the boat.]
7,"[C: both hands toss motion to the right side, arms land down on lap simultaneously as legs, hold]",28.46,32.1,"[Tossing the paddle,| he sticks his feet through the hole.]"
8,[C: holding sides of boat with each hand and waddling motion],33.16,35.24,[Mouse walks along the bottom of the bay.]
